timestamp,actual_mean,actual_std,pred_mean,mae,max_error,bias,hour,dayofweek,date
2016-10-06 16:00:00,603.8252582225332,1397.4479621107837,605.7387767620129,44.04756534119262,2780.2581918627907,-1.9135185394796919,16,3,2016-10-06
2016-10-06 17:00:00,550.2551204466155,1288.9945270842436,587.2232456707759,70.28777828799205,3930.4589114376004,-36.96812522416037,17,3,2016-10-06
2016-10-06 18:00:00,560.3840834849544,1287.91471994764,551.8593763750765,57.02731288530507,5891.092869442555,8.524707109878028,18,3,2016-10-06
2016-10-06 19:00:00,547.6533254379817,1260.5022410812094,549.9033949159306,45.980899714477374,2766.2560656938413,-2.2500694779488737,19,3,2016-10-06
2016-10-06 20:00:00,539.2859604341737,1249.1822690188148,537.822174718217,48.76958391805927,3334.631543833584,1.4637857159567718,20,3,2016-10-06
2016-10-06 21:00:00,531.1870895178197,1251.3736100458277,525.5019775234769,42.0512148766398,1828.6181021195239,5.685111994342823,21,3,2016-10-06
2016-10-06 22:00:00,523.962153175157,1255.7261055532235,512.2386273396498,53.021816316654345,4566.746150819819,11.723525835507171,22,3,2016-10-06
2016-10-06 23:00:00,496.48787783972125,1215.7661025571165,495.83804063330575,45.43622593203177,3106.1565871988687,0.6498372064155449,23,3,2016-10-06
2016-10-07 00:00:00,480.6348502781641,1190.3856304279536,484.4914545758724,43.36728365043619,1952.0210413853974,-3.8566042977082393,0,4,2016-10-07
2016-10-07 01:00:00,460.5672793319415,1145.3105437467725,470.5632976665925,37.89004926191011,2450.404890544029,-9.99601833465099,1,4,2016-10-07
2016-10-07 02:00:00,461.7676990953375,1179.3031525032886,455.90605329343117,37.631196678006944,4108.046734265526,5.861645801906316,2,4,2016-10-07
2016-10-07 03:00:00,459.85012887961034,1178.7977260311386,457.768014667545,35.99066701715579,1874.1812398200898,2.0821142120653153,3,4,2016-10-07
2016-10-07 04:00:00,466.2515459290188,1206.8496741200115,456.71102845748277,39.71055050259094,2659.1940834048737,9.540517471536054,4,4,2016-10-07
2016-10-07 05:00:00,482.1946020194986,1224.1168373553082,479.0195005523833,43.36873294493967,2982.3739771839646,3.1751014671153026,5,4,2016-10-07
2016-10-07 06:00:00,515.260183902439,1254.95086576739,512.093078843669,48.75973086620282,3065.359543601332,3.1671050587699767,6,4,2016-10-07
2016-10-07 07:00:00,556.9377582578397,1329.5268789087163,539.7099665186,54.86877717214395,3148.722180485269,17.22779173923964,7,4,2016-10-07
2016-10-07 08:00:00,583.6941368347339,1361.2753809332153,572.7503369580187,54.2054168809881,2465.163814787192,10.943799876715241,8,4,2016-10-07
2016-10-07 09:00:00,594.9116547316385,1380.2916403955012,592.4245050983709,51.6956723602132,4323.162702900665,2.487149633267509,9,4,2016-10-07
2016-10-07 10:00:00,611.3895190340909,1400.0361690248042,601.1342347047128,51.58380420416931,2174.151108518785,10.255284329378187,10,4,2016-10-07
2016-10-07 11:00:00,616.2891319886766,1402.9597838940667,613.5821553327662,55.07282425950347,2142.6514350366274,2.7069766559103794,11,4,2016-10-07
2016-10-07 12:00:00,615.0321354861604,1386.654531634131,614.7191595238859,45.581616831539144,2227.559212167132,0.31297596227444197,12,4,2016-10-07
2016-10-07 13:00:00,614.5964265392781,1394.2302923029108,614.340806707473,53.463153783770906,4865.620591793127,0.2556198318050383,13,4,2016-10-07
2016-10-07 14:00:00,620.0166735356387,1398.293431667532,611.6271380563072,41.145315224687565,4883.465051061125,8.389535479331512,14,4,2016-10-07
2016-10-07 15:00:00,622.5719658468025,1407.9300393623673,614.9349965104137,46.84386666386903,2455.3643551026466,7.636969336388784,15,4,2016-10-07
2016-10-07 16:00:00,615.3225355742297,1388.5929136990653,610.4824645077294,48.01351779756763,4722.023153679438,4.8400710665003,16,4,2016-10-07
2016-10-07 17:00:00,588.5199298184357,1333.3646111825522,592.8100436791561,52.782039134482346,4546.943394598081,-4.290113860720451,17,4,2016-10-07
2016-10-07 18:00:00,568.4384223076922,1304.3701915443696,575.5712773820154,44.66923572667255,1380.59647891859,-7.132855074323099,18,4,2016-10-07
2016-10-07 19:00:00,552.9219626489138,1289.1209252595243,559.6482756218509,50.68879627466858,2863.6605058849445,-6.726312972937089,19,4,2016-10-07
2016-10-07 20:00:00,535.7549207692308,1269.925687843082,543.3054037546332,43.14108575319129,1250.3753923055156,-7.5504829854023985,20,4,2016-10-07
2016-10-07 21:00:00,525.0182218422889,1270.3289664205222,528.6527055068594,46.189282564394446,3327.7034113275467,-3.634483664570517,21,4,2016-10-07
2016-10-07 22:00:00,501.37460473867594,1234.427717009646,512.9546084888958,42.26948898913877,3584.865706877762,-11.580003750219879,22,4,2016-10-07
2016-10-07 23:00:00,478.4303362875087,1206.621917422933,486.084759887035,41.44161966947996,1753.3629882574453,-7.654423599526283,23,4,2016-10-07
2016-10-08 00:00:00,466.3238669220056,1191.2866382472737,470.53699904584147,37.24042630529809,2005.5036813731813,-4.2131321238359,0,5,2016-10-08
2016-10-08 01:00:00,460.63092604456824,1196.499788254962,460.0134575510078,37.35767068950202,1912.5309497126195,0.6174684935604126,1,5,2016-10-08
2016-10-08 02:00:00,457.7249482950591,1193.476171349433,456.42279925836385,33.37080431064763,1188.2506361214491,1.302149036695316,2,5,2016-10-08
2016-10-08 03:00:00,453.05431419624216,1190.161160531687,453.36406876243166,33.741643578011356,1322.5320968162403,-0.30975456618947417,3,5,2016-10-08
2016-10-08 04:00:00,448.7552322199026,1193.0880395412498,450.6148488049796,35.83553064678828,1813.6976978069488,-1.859616585076966,4,5,2016-10-08
2016-10-08 05:00:00,456.5146512178149,1200.9881373390358,458.0550125055936,35.99815155163522,999.8735964612902,-1.5403612877787507,5,5,2016-10-08
2016-10-08 06:00:00,479.8679953342618,1236.7019416815742,481.6944223141219,40.51662773277691,1565.9337234809655,-1.826426979859999,6,5,2016-10-08
2016-10-08 07:00:00,502.9659452331246,1268.677056237257,500.5244396186497,53.671431421336415,5206.049077292296,2.4415056144748566,7,5,2016-10-08
2016-10-08 08:00:00,507.2790659470752,1256.957210027828,519.9099009108912,48.60136052864611,2206.116750267,-12.630834963815998,8,5,2016-10-08
